woord,score,lengte,lengte_punten,tweeklanken,heeft_ch,heeft_sch,lettergrepen_schatting,medeklinkerclusters,zeldzame_letter,frequentie
mooie,8,5,2,3,nee,nee,1,0,nee,1
nieuwe,7,6,3,2,nee,nee,2,0,nee,1
dezelfde,5,8,4,0,nee,nee,3,0,nee,1
jasmina,5,7,4,0,nee,nee,3,0,nee,5
steeds,5,6,3,1,nee,nee,1,0,nee,1
honderd,4,7,4,0,nee,nee,2,0,nee,1
sneller,4,7,4,0,nee,nee,2,0,nee,2
steppen,4,7,4,0,nee,nee,2,0,nee,1
geeft,4,5,2,1,nee,nee,1,0,nee,1
houdt,4,5,2,1,nee,nee,1,0,nee,1
kleur,4,5,2,1,nee,nee,1,0,nee,1
beer,4,4,2,1,nee,nee,1,0,nee,2
daar,4,4,2,1,nee,nee,1,0,nee,1
doet,4,4,2,1,nee,nee,1,0,nee,1
gaan,4,4,2,1,nee,nee,1,0,nee,1
gaat,4,4,2,1,nee,nee,1,0,nee,3
goed,4,4,2,1,nee,nee,1,0,nee,1
haar,4,4,2,1,nee,nee,1,0,nee,2
joep,4,4,2,1,nee,nee,1,0,nee,1
knie,4,4,2,1,nee,nee,1,0,nee,1
maar,4,4,2,1,nee,nee,1,0,nee,1
mijn,4,4,2,1,nee,nee,1,0,nee,2
zijn,4,4,2,1,nee,nee,1,0,nee,1
een,4,3,2,1,nee,nee,1,0,nee,1
hij,4,3,2,1,nee,nee,1,0,nee,1
au,3,2,1,1,nee,nee,1,0,nee,1
jarig,2,5,2,0,nee,nee,2,0,nee,1
deze,2,4,2,0,nee,nee,2,0,nee,1
rode,2,4,2,0,nee,nee,2,0,nee,1
step,2,4,2,0,nee,nee,1,0,nee,4
valt,2,4,2,0,nee,nee,1,0,nee,1
vast,2,4,2,0,nee,nee,1,0,nee,1
zegt,2,4,2,0,nee,nee,1,0,nee,1
als,2,3,2,0,nee,nee,1,0,nee,1
dan,2,3,2,0,nee,nee,1,0,nee,1
het,2,3,2,0,nee,nee,1,0,nee,1
jas,2,3,2,0,nee,nee,1,0,nee,1
met,2,3,2,0,nee,nee,1,0,nee,1
mis,2,3,2,0,nee,nee,1,0,nee,1
oma,2,3,2,0,nee,nee,2,0,nee,1
wel,2,3,2,0,nee,nee,1,0,nee,1
de,1,2,1,0,nee,nee,1,0,nee,1
en,1,2,1,0,nee,nee,1,0,nee,1
is,1,2,1,0,nee,nee,1,0,nee,4
